1	destinataire	1	receiver
1	destinataire	2	recipient
1	destinataire	3	cfs
1	destinataire	4	forwarding
1	destinataire	5	smtp
1	destinataire	6	white
1	destinataire	7	voice
1	destinataire	8	checking
1	destinataire	9	sms
1	destinataire	10	agent
1	destinataire	11	short
1	destinataire	12	sms-cb
1	destinataire	13	build-up
1	destinataire	14	rejection
1	destinataire	15	rational
1	destinataire	16	verbal
1	destinataire	17	server
1	destinataire	18	danger
1	destinataire	19	abstract
1	destinataire	20	two-way
2	congestion	1	congestion
2	congestion	2	block
2	congestion	3	size
2	congestion	4	footprint
2	congestion	5	plug
2	congestion	6	cap
2	congestion	7	top
2	congestion	8	cover
2	congestion	9	jamming
2	congestion	10	burden
2	congestion	11	obstruction
2	congestion	12	bob
2	congestion	13	bulk
2	congestion	14	toxml
2	congestion	15	loss
2	congestion	16	provider
2	congestion	17	drop
2	congestion	18	egress
2	congestion	19	point
2	congestion	20	imt2000
3	architecture	1	architecture
3	architecture	2	framework
3	architecture	3	equipment
3	architecture	4	building
3	architecture	5	figure
3	architecture	6	combination
3	architecture	7	pattern
3	architecture	8	frame
3	architecture	9	texture
3	architecture	10	organization
3	architecture	11	structure
3	architecture	12	layout
3	architecture	13	construct
3	architecture	14	signature
3	architecture	15	fabric
3	architecture	16	arrangement
3	architecture	17	composition
3	architecture	18	isolated
3	architecture	19	core
3	architecture	20	hoc
4	authentification	1	provider
4	authentification	2	provision
4	authentification	3	value-added
4	authentification	4	bit-rate
4	authentification	5	gsd
4	authentification	6	location-based
4	authentification	7	esma
4	authentification	8	service
4	authentification	9	enablers
4	authentification	10	creation
4	authentification	11	location-aware
4	authentification	12	commercial
4	authentification	13	one-way
4	authentification	14	airwaves
4	authentification	15	ws-inspection
4	authentification	16	quality
4	authentification	17	capex
4	authentification	18	high-end
4	authentification	19	precise
4	authentification	20	supplementary
5	datagramme	1	in-building
5	datagramme	2	capacity
5	datagramme	3	intermittent
5	datagramme	4	area
5	datagramme	5	near-global
5	datagramme	6	physical
5	datagramme	7	adequate
5	datagramme	8	mac
5	datagramme	9	building
5	datagramme	10	indoor
5	datagramme	11	weakspot
5	datagramme	12	unacceptable
5	datagramme	13	dropout
5	datagramme	14	kilometer
5	datagramme	15	malfunction
5	datagramme	16	required
5	datagramme	17	alternate
5	datagramme	18	multi-carrier
5	datagramme	19	dead
5	datagramme	20	highway
6	cryptage	1	airwaves
6	cryptage	2	word
6	cryptage	3	ldpc
6	cryptage	4	convolutional
6	cryptage	5	mp3
6	cryptage	6	turbo
6	cryptage	7	seed
6	cryptage	8	screenshots
6	cryptage	9	show
6	cryptage	10	downloading
6	cryptage	11	encryption
6	cryptage	12	two-antenna
6	cryptage	13	large
6	cryptage	14	wlan-enabled
6	cryptage	15	multi
6	cryptage	16	interoperation
6	cryptage	17	running
6	cryptage	18	space-time
6	cryptage	19	corner
6	cryptage	20	block
7	plateforme	1	speed
7	plateforme	2	np-hard
7	plateforme	3	combinatorial
7	plateforme	4	microsystems
7	plateforme	5	table
7	plateforme	6	salesman
7	plateforme	7	point
7	plateforme	8	sims
7	plateforme	9	problem
7	plateforme	10	pico-bts
7	plateforme	11	loa
7	plateforme	12	analysis
7	plateforme	13	low
7	plateforme	14	shortage
7	plateforme	15	rate
7	plateforme	16	broadband
7	plateforme	17	subsection
7	plateforme	18	station
7	plateforme	19	optimization
7	plateforme	20	w-ofdm
8	initialisation	1	delay-insensitive
8	initialisation	2	csma
8	initialisation	3	ipv4
8	initialisation	4	handheld
8	initialisation	5	phase
8	initialisation	6	post-acquisition
8	initialisation	7	airwaves
8	initialisation	8	hand-held
8	initialisation	9	management
8	initialisation	10	start-up
8	initialisation	11	hook
8	initialisation	12	short-range
8	initialisation	13	mb/sec
8	initialisation	14	budget
8	initialisation	15	nearby
8	initialisation	16	rf4ce
8	initialisation	17	dotted
8	initialisation	18	seed
8	initialisation	19	connection
8	initialisation	20	show
9	utilisateur	1	user
9	utilisateur	2	off-site
9	utilisateur	3	opinion
9	utilisateur	4	masm
9	utilisateur	5	usability
9	utilisateur	6	dat
9	utilisateur	7	urban
9	utilisateur	8	phone
9	utilisateur	9	user-friendly
9	utilisateur	10	plan
9	utilisateur	11	coverage
9	utilisateur	12	exhibit
9	utilisateur	13	lans
9	utilisateur	14	realization
9	utilisateur	15	respondent
9	utilisateur	16	on-site
9	utilisateur	17	influence
9	utilisateur	18	selective
9	utilisateur	19	ws-inspection
9	utilisateur	20	overflow
10	antenne	1	antenna
10	antenne	2	aerial
10	antenne	3	overhead
10	antenne	4	move
10	antenne	5	examination
10	antenne	6	reach
10	antenne	7	concern
10	antenne	8	contact
10	antenne	9	impact
10	antenne	10	touch
10	antenne	11	cash
10	antenne	12	air
10	antenne	13	light
10	antenne	14	agency
10	antenne	15	office
10	antenne	16	commission
10	antenne	17	branch
10	antenne	18	bank
10	antenne	19	speed
10	antenne	20	loa
11	paquet	1	packet
11	paquet	2	block
11	paquet	3	stack
11	paquet	4	beam
11	paquet	5	rate
11	paquet	6	body
11	paquet	7	string
11	paquet	8	standard
11	paquet	9	section
11	paquet	10	figure
11	paquet	11	performance
11	paquet	12	collection
11	paquet	13	handling
11	paquet	14	corporate
11	paquet	15	unit
11	paquet	16	common
11	paquet	17	control
11	paquet	18	related
11	paquet	19	current
11	paquet	20	form
12	serveur	1	server
12	serveur	2	small
12	serveur	3	carrier
12	serveur	4	short
12	serveur	5	strong
12	serveur	6	bearer
12	serveur	7	promising
12	serveur	8	young
12	serveur	9	new
12	serveur	10	raw
12	serveur	11	required
12	serveur	12	bound
12	serveur	13	inevitable
12	serveur	14	rest
12	serveur	15	domestic
12	serveur	16	household
12	serveur	17	holder
12	serveur	18	assistant
12	serveur	19	porter
12	serveur	20	supporting
